,adopted_time,Rur.White,Sub.Blacker,Sub.Richer,BigCities,SubRur.Poorer,MidCities
0,2020-05-25 12:00:00-04:00,1.1957697921693508e-08,1.830701199096209e-07,7.977908055686675e-08,3.2117676884179945e-07,,7.781517523222655e-08
1,2020-05-25 18:00:00-04:00,1.1957697921693508e-08,2.615287427280299e-07,7.977908055686675e-08,5.352946147363324e-07,1.568968021638956e-08,1.4006731541800778e-07
2,2020-05-26 00:00:00-04:00,1.1957697921693508e-08,2.615287427280299e-07,9.972385069608344e-08,7.137261529817766e-07,1.568968021638956e-08,1.7119338551089841e-07
3,2020-05-26 06:00:00-04:00,4.783079168677403e-08,6.538218568200746e-07,3.590058625059004e-07,2.069805843647152e-06,1.2551744173111647e-07,5.135801565326953e-07
4,2020-05-26 12:00:00-04:00,6.33757989849756e-07,3.792166769556433e-06,1.8947531632255855e-06,1.002785244939396e-05,1.3650021788258916e-06,3.2059852195677337e-06
5,2020-05-26 18:00:00-04:00,1.2316428859344313e-06,6.4336070711095345e-06,3.5701138549197876e-06,1.677256459507175e-05,2.1181068292125906e-06,5.6493817218596475e-06
6,2020-05-27 00:00:00-04:00,1.554500729820156e-06,8.107391024568926e-06,4.3280151202100215e-06,2.1768647665944187e-05,2.667245636786225e-06,7.2056852265041784e-06
7,2020-05-27 06:00:00-04:00,2.116512532139751e-06,1.0670372703303618e-05,5.803928110512057e-06,2.854904611927106e-05,3.6870748508515462e-06,8.964308186752498e-06
8,2020-05-27 12:00:00-04:00,2.8818051991281358e-06,1.323335438203831e-05,7.239951560535658e-06,3.6150229648526986e-05,4.769662785782426e-06,1.1236511303533515e-05
9,2020-05-27 18:00:00-04:00,3.993871105845632e-06,1.629324067195626e-05,9.593434436963228e-06,4.446513933076468e-05,6.511217289801667e-06,1.4286866172636794e-05
10,2020-05-28 00:00:00-04:00,4.424348231026598e-06,1.7940871751142848e-05,1.0830010185594662e-05,5.024632116991707e-05,7.452598102785041e-06,1.5983236992699332e-05
11,2020-05-28 06:00:00-04:00,5.285302481388531e-06,2.1445356903698448e-05,1.2365757486314348e-05,5.7669073160927545e-05,8.660703479447036e-06,1.8208751004341014e-05
